"","sibs","age","incom16","pasei10","masei10","granborn","reg16east_south_atlantic","reg16foreign","reg16middle_atlantic","reg16mountain","reg16new_england","reg16pacific","reg16south_atlantic","reg16west_north_central","reg16west_south_central","res16in_a_large_city_(over_250,000)","res16in_a_medium-size_city_(50,000-250,000)","res16in_a_small_city_or_town_(under_50,000)","res16in_a_suburb_near_a_large_city","res16in_open_country_but_not_on_a_farm","res16large_city","res16medium_size_city","res16small_city_or_town"
"1798",2,31,4,86.6,80.9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"1799",2,21,3,69.3,71,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"1824",1,29,3,57.1,51.5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
"1829",1,59,3,84.5,59.1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
"1834",8,72,3,38.3,61.4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"1839",4,68,3,31.1,35.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"1840",3,30,3,35.3,29.4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
"1846",1,78,3,27.1,35.8,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
"1853",1,46,4,65.3,24.2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"1854",2,28,3,58.4,80.9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"1862",2,35,3,68,39.7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"1864",1,30,3,38.3,21.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"1873",6,44,2,25,24.6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"1875",2,39,2,67.7,84.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"1876",5,54,3,32,38.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
